29.17;20.75;27.9;7633
23.06;16.54;27.9;7650
26.94;18.69;27.9;7651
27.5;10.93;27.9;7652
16.2;23.46;27.7;7728
21.57;12.52;27.7;7771
17.22;17.85;27.5;8166
19.17;18.5;27.5;8167
21.2;18.5;27.5;8179
28.43;16.64;27.5;8180
27.5;15.61;27.5;8181
29.26;14.77;27.5;8182
15.83;17.85;27.3;8668
18.7;17.01;27.3;8669
13.52;19.81;27.3;8670
21.39;17.57;27.3;8675
20.37;12.62;27.3;8676
12.04;19.72;27.1;8992
25.65;13.64;27.1;8996
15.15;16.02;26.9;9394
17.11;17.59;26.9;9395
10.26;17.78;26.9;9396
34.86;27.59;27.9;7637
28.22;7.66;26.9;9418
